RN,AREA_NAME,TITLE,STAFF_DATE
88,湖南省,远大小型空气净化机团购为抗疫政采再加力！,2020-04-21
89,湖南省,全国性电商助力湖南政府采购电子卖场防疫物资供应,2020-03-10
90,湖南省,湖南省财政厅关于应对新冠肺炎疫情促进企业复工复产有关政府采购政策的通知,2020-02-28
91,湖南省,关于在疫情防控期间有序高效开展公共资源交易服务有关工作的通知,2020-02-17
92,湖南省,湖南省财政厅关于新型冠状病毒感染的肺炎疫情流行期间开展政府采购现场交易活动有关事项的通知,2020-01-30
93,湖南省,湖南省财政厅关于落实疫情防控采购便利化有关政策的通知,2020-01-27
94,湖南省,湖南省公共资源交易中心关于暂停所有已公示项目的进场交易和新项目进场预订的公告,2020-01-27
95,湖南省,财政部：建立采购“绿色通道” 支持打赢疫情防控攻坚战,2020-01-27
96,湖南省,"守初心 担使命,推进“党建+政府采购”深度融合",2019-12-31
97,湖南省,湖南省政府采购电子卖场全面开放入驻,2019-12-04
98,湖南省,湖南：有“合同”就能融资 有“回款”首先还钱 ,2019-11-29
99,湖南省,湖南省财政厅发布《政府采购质疑答复和投诉处理操作规程》,2019-09-16
100,湖南省,守初心，担使命，政采改革再出发,2019-08-01
101,湖南省,湖南省财政厅政府采购电子卖场上线试运行,2019-07-22
102,湖南省,湖南省财政厅牵手搭建政府采购政策供需见面会,2019-06-24
103,湖南省,省财政厅政府采购处赴猎豹汽车股份公司实地调研,2019-04-25
104,湖南省,缅怀毛主席 不忘革命传统——采购处党支部开展主题党日活动纪实,2019-04-15
105,湖南省,政府采购内控制度调研,2019-04-02
106,湖南省,聚焦内部控制 2019年度首次“湖南政府采购论坛”在长沙举行,2019-04-02
107,湖南省,弘扬雷锋精神 助力公益事业——采购处党支部开展主题党日活动纪实,2019-03-06
108,湖南省,湖南省财政厅关于公开征集湖南省政府采购评审专家的通知（第二批）,2019-01-02
109,湖南省,湖南省政府采购协会第二届会员代表大会在长沙召开,2018-12-04
110,湖南省,湖南：加强业务培训推进政府采购改革,2018-11-19
111,湖南省,省财政厅举办全省预算单位政府采购管理工作视频培训,2018-07-19
112,湖南省,《湖南省政府采购评审专家管理办法》将于6月1日正式实施,2018-05-15
113,湖南省,总会计师胡良安同志赴省公共资源交易中心调研政府采购工作,2018-03-28
114,湖南省,湖南发布2018年省级集采目录和限额标准,2018-01-31
115,湖南省,湖南举办政采监管工作业务培训班,2017-12-25
116,湖南省,以党的十九大精神为引领进一步深化政府采购制度改革,2017-12-11
117,湖南省,财政部国库司有关负责人就发布政府采购指导性案例答记者问,2017-11-22
118,湖南省,湖南：提升政采透明度 采购信息全公开,2017-11-17
119,湖南省,国务院公布《机关团体建设楼堂馆所管理条例》,2017-11-06
120,湖南省,《湖南省政府采购非公开招标采购方式审批管理办法》出台,2017-11-03
121,湖南省,87号令24问（三）,2017-10-30
122,湖南省,87号令24问（二）,2017-10-30
123,湖南省,87号令24问（一）,2017-10-30
124,湖南省,国务院部门涉企保证金目录清单中政府采购领域只收4项涉企保证金,2017-10-16
125,湖南省,四部门出台意见部署通过政府购买服务加强基层社会救助经办能力,2017-10-09
126,湖南省,财政专项扶贫资金绩效评价有新“标尺”,2017-09-25
127,湖南省,“红头文件”真的不能遮挡政采“阳光”了,2017-09-13
128,湖南省,财政部有关负责人就促进残疾人就业政府采购政策相关问题答记者问,2017-09-11
129,湖南省,三部门联合发布关于促进残疾人就业政府采购政策的通知,2017-09-11
130,湖南省,湖南召开代理机构监督检查暨培训工作会,2017-09-08
131,湖南省,财政部依法对两家违法违规企业作出行政警告处罚,2017-09-04
132,湖南省,２０１６年全国政府采购规模超过３万亿,2017-08-28
133,湖南省,财政部依法责令“北京邮电大学图书馆沙河新馆钢制家具采购项目”废标,2017-08-25
134,湖南省,PPP立法征求意见稿出台 五大焦点引人注目,2017-08-22
135,湖南省,财政部启动2017年代理机构大检查,2017-08-21
136,湖南省,“2017年政府采购湘江论坛”在长沙举行,2017-08-10
137,湖南省,湖南评审专家“按劳取酬”有了新章程,2017-06-22
138,湖南省,湖南省财政厅政府采购处开展 “合同能源管理”专题学习活动,2016-11-21
139,湖南省,竞争性磋商采购方式研讨会在长沙召开,2016-09-22
140,湖南省,以检带训，规范代理机构检查行为,2016-07-19
141,湖南省,石建国同志指导政府采购处“两学一做”学习教育,2016-07-15
142,湖南省,规范政府采购 助推PPP项目落地生效,2016-04-13
143,湖南省,湖南省财政厅关于举办全省政府采购和社会资本合作（PPP）项目政府采购培训班的通知,2016-03-31
144,湖南省,重温党史   坚定信念,2016-03-16
145,湖南省,湖南政府采购约谈公告,2016-03-10
146,湖南省,中华人民共和国财政部政府采购信息公告（第三百三十号）,2016-02-25
147,湖南省,湖南省财政厅政府采购处约谈益阳银城招标代理有限公司法人代表,2016-01-21
148,湖南省,全国政府采购工作会议在湖南长沙召开,2015-11-30
149,湖南省,政府采购法律体系化研讨会在长沙举行,2015-11-04
150,湖南省,湖南省财政厅政府采购处约谈湖南正源招标代理有限公司法人代表,2015-10-30
151,湖南省,湖南省财政厅政府采购处约谈湖南长沙天平招标代理有限责任公司法人代表,2015-10-30
152,湖南省,关于启用政府采购专家抽取新系统的通知(请下载附件),2015-08-20
153,湖南省,发挥政府采购政策功能，扶持残疾人福利企业,2015-01-29
154,湖南省,湖南省财政厅召开2015年度政府采购预算编制说明会,2014-12-26
155,湖南省,湖南政府采购频道试运行 推进政府阳光采购,2014-12-19
156,湖南省,湖南省政府采购网新网站CA数字证书办理指南,2011-04-19
